iter	Passed	Remaining
423	2129	2892
424	2134	2887
425	2139	2883
426	2144	2877
427	2148	2871
428	2153	2866
429	2159	2862
430	2164	2857
431	2169	2852
432	2175	2848
433	2179	2842
434	2184	2837
435	2189	2832
436	2194	2827
437	2199	2822
438	2204	2817
439	2209	2812
440	2214	2806
441	2219	2801
442	2224	2797
443	2230	2792
444	2235	2787
445	2240	2783
446	2245	2778
447	2249	2772
448	2254	2767
449	2259	2762
450	2264	2757
451	2269	2751
452	2274	2746
453	2279	2740
454	2284	2735
455	2289	2731
456	2294	2726
457	2299	2721
458	2304	2716
459	2309	2710
460	2314	2705
461	2319	2700
462	2324	2695
463	2329	2690
464	2334	2686
465	2338	2680
466	2344	2675
467	2349	2671
468	2354	2666
469	2360	2661
470	2365	2656
471	2370	2651
472	2374	2645
473	2379	2640
474	2384	2635
475	2389	2630
476	2394	2625
477	2399	2620
478	2404	2615
479	2409	2610
480	2414	2605
481	2420	2600
482	2425	2595
483	2430	2591
484	2435	2585
485	2439	2580
486	2445	2575
487	2450	2570
488	2455	2566
489	2460	2561
490	2466	2556
491	2471	2551
492	2475	2546
493	2480	2541
494	2485	2535
495	2491	2531
496	2496	2527
497	2502	2522
498	2507	2517
499	2512	2512
500	2516	2506
501	2522	2501
502	2527	2497
503	2532	2492
504	2537	2486
505	2542	2481
506	2546	2476
507	2551	2471
508	2557	2466
509	2562	2462
510	2567	2457
511	2572	2452
512	2576	2446
513	2581	2441
514	2587	2436
515	2592	2431
516	2597	2426
517	2602	2421
518	2607	2416
519	2612	2411
520	2616	2405
521	2622	2401
522	2627	2396
523	2632	2391
524	2637	2386
525	2641	2380
526	2646	2375
527	2652	2370
528	2657	2366
529	2662	2361
530	2667	2356
531	2672	2350
532	2676	2345
533	2681	2340
534	2687	2335
535	2692	2330
536	2698	2326
537	2703	2321
538	2708	2316
539	2712	2310
540	2718	2306
541	2723	2301
542	2729	2297
543	2735	2292
544	2740	2287
545	2745	2283
546	2750	2278
547	2755	2272
548	2760	2267
549	2764	2262
550	2769	2257
551	2774	2251
552	2779	2246
553	2784	2241
554	2789	2236
555	2794	2231
556	2799	2226
557	2804	2221
558	2808	2216
559	2813	2210
560	2819	2205
561	2824	2200
562	2829	2196
563	2835	2192
564	2841	2187
565	2846	2182
566	2851	2177
567	2857	2173
568	2863	2168
569	2867	2163
570	2872	2158
571	2877	2152
572	2882	2148
573	2887	2142
574	2892	2137
575	2896	2132
576	2901	2127
577	2906	2122
578	2911	2117
579	2917	2112
580	2921	2107
581	2926	2101
582	2931	2096
583	2936	2092
584	2941	2086
585	2947	2082
586	2952	2077
587	2956	2071
588	2961	2066
589	2966	2061
590	2971	2056
591	2976	2051
592	2980	2045
593	2985	2040
594	2990	2035
595	2995	2030
596	3000	2025
597	3005	2020
598	3010	2015
599	3014	2009
600	3019	2004
601	3025	1999
602	3030	1995
603	3035	1989
604	3039	1984
605	3044	1979
606	3050	1974
607	3055	1969
608	3060	1964
609	3064	1959
610	3069	1954
611	3074	1949
612	3080	1944
613	3085	1939
614	3090	1934
615	3095	1929
616	3100	1924
617	3104	1919
618	3109	1914
619	3114	1909
620	3120	1904
621	3125	1899
622	3130	1894
623	3135	1889
624	3139	1883
625	3144	1878
626	3149	1873
627	3154	1868
628	3159	1863
629	3164	1858
