iter	RMSE
164	0.2006394556
165	0.1988092708
166	0.197056201
167	0.1952240083
168	0.1934595773
169	0.1917029296
170	0.1898917944
171	0.1881820618
172	0.1864544193
173	0.1848053637
174	0.1830998969
175	0.1814205198
176	0.1797747211
177	0.1781370127
178	0.1765209087
179	0.1749109127
180	0.1733136723
181	0.1717945565
182	0.1702314145
183	0.1686668902
184	0.167134365
185	0.1656691285
186	0.1641788397
187	0.162667729
188	0.1612243138
189	0.1597587644
190	0.158347087
191	0.1569167101
192	0.1555447368
193	0.1541305368
194	0.1527559153
195	0.1513961853
196	0.1500121135
197	0.1486567479
198	0.1473433505
199	0.1460459626
200	0.1447336439
201	0.1434352911
202	0.1421931742
203	0.1409567083
204	0.1396864982
205	0.1384740811
206	0.1372974672
207	0.1360578864
208	0.1348822807
209	0.1337138926
210	0.1325540562
211	0.1313683669
212	0.1301843816
213	0.1290383769
214	0.1279445715
215	0.1268678704
216	0.1257568773
217	0.1246484554
218	0.12358734
219	0.1225037574
220	0.1214572216
221	0.1203941705
222	0.1193363152
223	0.1183000589
224	0.1172527821
225	0.1162496415
226	0.1152886727
227	0.1142639636
228	0.1132451526
229	0.1122497695
230	0.1112761228
231	0.1103036799
232	0.1093564962
233	0.1084080792
234	0.10745363
235	0.1065197771
236	0.1056263119
237	0.1047140018
238	0.1038462311
239	0.1029572993
240	0.1020787055
241	0.101246427
242	0.1003834647
243	0.09954851247
244	0.09869949051
245	0.09786665326
246	0.0970443467
247	0.09623897818
248	0.09553039905
249	0.09474766427
250	0.09395618584
251	0.09315816018
252	0.09235785442
253	0.09160353655
254	0.09082776889
255	0.09009613936
256	0.08935664747
257	0.08860358663
258	0.0878971837
259	0.08716586723
260	0.08644541772
261	0.08574117351
262	0.08507525384
263	0.08436713337
264	0.08366506209
265	0.08300410103
266	0.08234304185
267	0.08168569609
268	0.08105161436
269	0.08037958562
270	0.07973735721
271	0.07910546924
272	0.07848103307
273	0.07785052663
274	0.0772289429
275	0.07660888486
276	0.07600722247
277	0.07541649242
278	0.07480781482
279	0.0742195672
280	0.07363791365
281	0.07307744218
282	0.07253188772
283	0.07199619579
284	0.07143696124
285	0.07088204395
286	0.07036218369
287	0.06984003819
288	0.06929828814
289	0.06877106925
290	0.06824917706
291	0.06774218655
292	0.06723812353
293	0.06673603832
294	0.06623484838
295	0.06572550518
296	0.06524293896
297	0.06476284343
298	0.06427525839
299	0.06383587592
300	0.06337116263
301	0.06292655568
302	0.06246334807
303	0.0620281126
304	0.06158012011
305	0.0611220033
306	0.06068371172
307	0.06024580339
308	0.05982417672
309	0.05942778471
310	0.05901511171
311	0.05859887286
312	0.05818302476
313	0.0578005979
314	0.05739383933
315	0.05701076422
316	0.05661930019
317	0.05621968318
318	0.05583292045
319	0.05546840042
320	0.05508403002
321	0.05469349414
322	0.05434029759
323	0.05398424315
324	0.05364527292
325	0.0532835636
326	0.05293175764
327	0.05258538354
328	0.05223454469
329	0.05189060515
330	0.05155392514
331	0.05121531344
332	0.05088771972
333	0.05058072728
334	0.05026500856
335	0.04994857938
336	0.04963752557
337	0.04932374194
338	0.04900631217
339	0.04869176045
340	0.04838012239
341	0.04808921753
342	0.04781669969
343	0.04751425841
344	0.04721878403
345	0.04694001733
346	0.04667369966
347	0.04638626777
348	0.04610772565
349	0.04584053332
350	0.04556959273
351	0.04530711286
352	0.04503536071
353	0.04478437562
354	0.04452446812
355	0.04425379291
356	0.04401495235
357	0.04377045047
358	0.04352897465
359	0.04327259
360	0.04302877463
361	0.04278085993
362	0.04255118462
363	0.04231421148
364	0.04209376657
365	0.04186039497
366	0.04164339433
367	0.04143610937
368	0.04122147522
369	0.04102107315
370	0.04081012231
371	0.04059648096
372	0.04039235833
373	0.04017943263
374	0.03998074801
375	0.0397751969
376	0.03957752926
377	0.03938486986
378	0.03919608314
379	0.03901069721
380	0.03881816152
381	0.03862687261
382	0.03843875923
383	0.03825150642
384	0.03806714991
385	0.03788170748
386	0.03769794838
387	0.03751034451
388	0.03733876647
389	0.0371680374
390	0.03700869045
391	0.03683685389
392	0.03667772005
393	0.03651521014
394	0.03635477784
395	0.03619596567
396	0.03603600491
397	0.03588480817
398	0.03574390017
399	0.03560224666
400	0.03545589499
401	0.03530815225
402	0.03515826957
403	0.03499542827
404	0.03484946351
405	0.03471937668
406	0.03457586907
407	0.03441546428
408	0.03427593065
409	0.03413251547
410	0.03400574756
411	0.03388138904
412	0.03374651321
413	0.03361932306
414	0.03349555739
415	0.03336183914
416	0.033255095
417	0.03312923064
418	0.03300288286
419	0.03288769194
420	0.03277700839
421	0.03266601565
422	0.03254421543
423	0.03242427338
424	0.03230912558
425	0.03218760087
426	0.03207974078
427	0.03196719079
428	0.0318707704
429	0.03175661371
430	0.03164936444
431	0.03154665124
432	0.03144777137
433	0.03134400763
434	0.03125356047
435	0.03115619239
436	0.03105723983
437	0.03095684817
438	0.03086254378
439	0.03075338752
440	0.03064871893
441	0.030544282
442	0.03044529613
443	0.0303573737
444	0.03025462067
445	0.03016840209
446	0.03006841222
447	0.02997620883
448	0.02988479184
449	0.02979525453
450	0.02972320275
451	0.02964538966
452	0.02956648713
453	0.02947587982
454	0.0293834125
455	0.02930692998
456	0.02923239097
457	0.02915253042
458	0.02907350887
459	0.02898765969
460	0.02891918779
461	0.02885060741
462	0.02877870379
463	0.02870346438
464	0.02862013497
465	0.02855288787
466	0.02847286966
467	0.02840154872
468	0.02833352578
469	0.02825483399
470	0.02817889613
471	0.02810252124
472	0.02803654463
473	0.02796747918
474	0.02789862407
475	0.02782556958
476	0.02775396957
477	0.02769056806
478	0.02762605585
479	0.02756604012
480	0.02750264699
481	0.02744529992
482	0.02738327707
483	0.02732349895
484	0.02726916695
485	0.02720736604
486	0.02714511093
487	0.02708980667
488	0.02703813792
489	0.02698423352
490	0.02692601571
491	0.02687672499
492	0.02681088812
493	0.02674822367
494	0.02670087809
495	0.0266425157
496	0.02658929621
497	0.02653642116
498	0.02647736052
499	0.02641782037
500	0.02635717865
501	0.02629552176
502	0.0262496167
503	0.02618974127
504	0.02614165685
505	0.02609407862
506	0.02604018798
507	0.02599271277
508	0.02594677907
509	0.02590129532
510	0.02585780321
511	0.02580386623
512	0.02575616434
513	0.02571211038
514	0.02566479964
515	0.02562113093
516	0.02557849176
517	0.02553814592
518	0.02548424494
519	0.02543612462
520	0.02539452661
521	0.02535198725
522	0.02531300868
523	0.02526777952
524	0.02523389357
525	0.02520283095
526	0.02516760997
527	0.02512758944
528	0.02508257017
529	0.02504419013
530	0.02499820031
531	0.02496004443
532	0.02492328515
533	0.02489179019
534	0.02484533654
535	0.02480881579
536	0.02477793822
537	0.02474169826
538	0.02470697355
539	0.02467081884
540	0.02463427317
541	0.02459625268
542	0.02455913656
543	0.02451649691
544	0.02447966862
545	0.02444040257
546	0.02440726564
547	0.02437496088
548	0.02433859219
549	0.02431049074
550	0.02427596232
551	0.02424531051
552	0.02421468092
553	0.02418533812
554	0.02415643192
555	0.02412138732
556	0.02408863818
557	0.02404773975
558	0.02402160696
559	0.02399477719
560	0.02396423977
561	0.02393576408
562	0.02390706188
563	0.0238767539
564	0.02384349818
565	0.02380314142
566	0.02376357349
567	0.02373301793
568	0.02370792669
569	0.02367952227
570	0.02364462809
571	0.02361759992
572	0.02358859266
573	0.02356357374
574	0.02353349833
575	0.02350451222
576	0.0234799961
577	0.02345217302
578	0.02342978587
579	0.02340300625
580	0.02337540162
581	0.02334851274
582	0.02332078497
583	0.02329579988
584	0.02326048829
585	0.02323322899
586	0.02321064308
587	0.02318837559
588	0.02316037665
589	0.02313001696
590	0.02310101458
591	0.02306999458
592	0.02304819259
593	0.0230179219
594	0.02299690252
595	0.02297417919
596	0.02294623482
597	0.02291688716
598	0.02289179068
599	0.02286888953
600	0.02284616863
601	0.02282446561
602	0.02279796314
603	0.02276666449
604	0.02274141561
605	0.02271775314
606	0.0226949638
607	0.0226728848
608	0.02264173488
609	0.02262140362
610	0.02259607285
611	0.02257158667
612	0.02255223512
613	0.02252853653
614	0.02250844339
615	0.02248474118
616	0.02246290031
617	0.02243644473
618	0.02241760351
619	0.02238881422
620	0.02236432209
621	0.02233806653
622	0.02231781632
623	0.02229281525
624	0.02227444885
625	0.0222497748
626	0.02223248175
627	0.0222080248
628	0.02218611713
629	0.02216829847
630	0.02214717748
631	0.02212723807
632	0.02211053279
633	0.02208773339
634	0.02206135897
635	0.02203803843
636	0.02201859394
637	0.0220005399
638	0.02198461413
639	0.02196322258
640	0.0219470347
641	0.02192502649
642	0.0219045307
643	0.02188546063
644	0.0218619681
645	0.02183931078
646	0.02181719223
647	0.02180044023
648	0.02177953533
649	0.02175980059
650	0.02173862524
651	0.02171427757
652	0.02169722559
653	0.02167879152
654	0.02165878929
655	0.02164508888
656	0.02162241447
657	0.02160219714
658	0.02157967839
659	0.02155764221
660	0.02153914412
661	0.02152517488
662	0.02150566385
663	0.02149103181
664	0.02146990106
665	0.02145147286
666	0.02143012252
667	0.02140904799
668	0.02139595163
669	0.02138115265
670	0.02135633752
671	0.0213380243
672	0.02131988089
673	0.02130042706
674	0.02128604367
675	0.02126599898
676	0.02125099867
677	0.0212350497
678	0.02121652754
679	0.02120477155
680	0.02119068907
681	0.02117135328
682	0.02115660357
683	0.02113976476
684	0.02112044952
685	0.02109955022
686	0.02107696108
687	0.02105369587
688	0.02103155187
689	0.02101714141
690	0.02099365632
691	0.02097521876
692	0.02095724615
693	0.02094174101
694	0.02092620562
695	0.020908664
696	0.02089514024
697	0.02087344419
698	0.02085743387
699	0.02084369973
700	0.02082731862
701	0.02080748738
702	0.0207913001
703	0.02077199501
704	0.0207530905
705	0.02074236871
706	0.02072546095
707	0.02071446543
708	0.02069612746
709	0.02067957055
710	0.0206665011
711	0.02064690668
712	0.02062731436
713	0.02060892432
714	0.0205931469
715	0.02057530633
716	0.0205584251
717	0.02053948793
718	0.02052915247
719	0.02051237669
720	0.02049593825
721	0.02048576104
722	0.02047323858
723	0.02045054261
724	0.02043275987
725	0.02042020985
726	0.02040733116
727	0.02038881037
728	0.02037234664
729	0.02035707034
730	0.02034261505
731	0.02032958375
732	0.02031808831
733	0.02030229823
734	0.02028224187
735	0.02026796852
736	0.02025229859
737	0.02023689826
738	0.02022010494
739	0.02020508413
740	0.02019176631
741	0.02017361997
742	0.02016259853
743	0.0201437067
744	0.02012939483
745	0.02011329985
746	0.02010028131
747	0.02008950144
748	0.02007741497
749	0.02006577389
750	0.02004995199
751	0.02003707805
752	0.0200249186
753	0.0200127682
754	0.01999348623
755	0.01998418491
756	0.01996655531
757	0.01994910262
758	0.01993127233
759	0.01992157122
760	0.01990938583
761	0.01989167282
762	0.01987600666
763	0.01986142679
764	0.01984563012
765	0.01982843893
766	0.01981523939
767	0.01980268055
768	0.01979231303
769	0.01978096128
770	0.01976369036
771	0.01975277879
772	0.01973997823
773	0.01971550743
774	0.01970372409
775	0.01968667615
776	0.01967196663
777	0.01966226776
778	0.01964858754
779	0.01963294808
780	0.01961463153
781	0.01960562969
782	0.01959420018
783	0.01958168443
784	0.019563135
785	0.01954545677
786	0.01953813306
787	0.01952778729
788	0.0195131811
789	0.01950167463
790	0.01948841033
791	0.01947265456
792	0.01945412446
793	0.01943224153
794	0.01942168859
795	0.01940734427
796	0.01939315402
797	0.0193815396
798	0.01936410765
799	0.01935707748
800	0.01934906832
801	0.01933625042
802	0.01932400638
803	0.01931334262
804	0.01929243618
805	0.01928190789
806	0.0192636379
807	0.01924718832
808	0.01923099307
809	0.01921380706
810	0.01919696938
811	0.01917321927
812	0.01916478385
813	0.01915478808
814	0.0191450798
815	0.01913326227
816	0.01911456101
817	0.0190956854
818	0.01908685965
819	0.01907836942
820	0.01906047956
821	0.0190409485
822	0.01902815261
823	0.01901431823
824	0.01900458309
825	0.01898814332
826	0.01897455987
827	0.01896038437
828	0.0189493551
829	0.01893343186
830	0.01891631596
831	0.01889878311
832	0.01888612253
833	0.01887513679
834	0.01886311117
835	0.01884884554
836	0.018840204
837	0.0188276744
838	0.01881327456
839	0.01880160675
840	0.01878992835
841	0.01877825996
842	0.01876533708
843	0.01875433845
844	0.01873749723
845	0.01872372716
846	0.01871627831
847	0.01870206186
848	0.01869307254
849	0.01867941243
850	0.01866812301
851	0.01865942919
852	0.01865063872
853	0.01863894985
854	0.01862618703
855	0.0186153904
856	0.01860694601
857	0.0185968619
858	0.01858229034
859	0.01857087172
860	0.01855875962
861	0.01854228075
862	0.01852679873
863	0.01851540053
864	0.01850078284
865	0.01849057509
866	0.01847841452
867	0.01846110282
868	0.01845283234
869	0.0184463284
870	0.01842780634
871	0.01841850219
872	0.01840794477
873	0.01839344495
874	0.01837719455
875	0.01836337796
876	0.01834758064
877	0.01833638794
878	0.01832651583
879	0.01831624899
880	0.01830343461
881	0.01829680923
882	0.01828651739
883	0.01827801945
884	0.01826424347
885	0.01825441203
886	0.01824531989
887	0.01822974906
888	0.01821976625
889	0.01820985063
890	0.01819643389
891	0.01818288884
892	0.01817393352
893	0.01816098148
894	0.01814206962
895	0.01813168223
896	0.0181244419
897	0.01811213406
898	0.01809874577
899	0.01808791137
900	0.01807502267
901	0.01806714444
902	0.01805725953
903	0.01804797623
904	0.01803695529
905	0.01802151554
906	0.01801191577
907	0.01799597681
908	0.01798422301
909	0.01797483188
910	0.01796553803
911	0.01795405417
912	0.01793440991
913	0.01791598277
914	0.01790831509
915	0.01789637301
916	0.01788491187
917	0.01787410781
918	0.01786264194
919	0.01785011911
920	0.01783991969
921	0.01783168171
922	0.01782389833
923	0.01781486688
924	0.01780636059
925	0.01779329622
926	0.01778834927
927	0.01778434852
928	0.01777550965
929	0.01776430723
930	0.01775453281
931	0.01773802713
932	0.01772723732
933	0.01771891058
934	0.01770314659
935	0.01768710625
936	0.01767677968
937	0.01765938014
938	0.01764787244
939	0.01764132572
940	0.01762990595
941	0.01761842408
942	0.0176093027
943	0.01759866315
944	0.01757873494
945	0.01756499999
946	0.01755616434
947	0.01754828946
948	0.01752999893
949	0.01751824842
950	0.01751111898
951	0.01750312829
952	0.01749636291
953	0.01748496348
954	0.01747283765
955	0.01746334592
956	0.0174527108
957	0.01743831605
958	0.01743014775
959	0.0174177097
960	0.01740876659
961	0.01740418829
962	0.01739228541
963	0.01738502671
964	0.01736355849
965	0.01734982028
966	0.01733529183
967	0.01732145119
968	0.01731133445
969	0.01730257322
970	0.01728800434
971	0.01728089516
972	0.01726717573
973	0.01726005508
974	0.01725104154
975	0.01724252407
976	0.01723460483
977	0.01722878405
978	0.01721736086
979	0.01720781034
980	0.01719782888
981	0.01718737451
982	0.01717497025
983	0.01716306526
984	0.01714641505
985	0.01713392967
986	0.01711782781
987	0.01710471206
988	0.01710010822
989	0.01709280897
990	0.01707910036
991	0.0170709752
992	0.01706328528
993	0.01704711429
994	0.01703559034
995	0.01702505627
996	0.01701503059
997	0.01700370214
998	0.01699425233
999	0.01698157043
